WM,1993-06-15,1993-07-08
WMB,1987-11-27,1987-12-20
WMT,1979-11-22,1979-12-15
WRB,1980-11-20,1980-12-13
WRK,2016-08-07,2016-08-30
WST,1986-05-16,1986-06-08
WTW,2004-07-29,2004-08-21
WY,1980-06-24,1980-07-17
WYNN,2005-09-30,2005-10-23
XEL,1980-04-24,1980-05-17
XOM,1970-10-08,1970-10-31
XRAY,1992-09-18,1992-10-11
XYL,2013-06-07,2013-06-30
YUM,2001-05-16,2001-06-08
ZBH,2004-09-03,2004-09-26
ZBRA,1996-02-25,1996-03-19
ZION,1986-05-16,1986-06-08
ZTS,2014-07-21,2014-08-13
